rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,"Iwaniec, Henryk","Iwaniec, Henryk",Polish Academy of Sciences,PL,,,1,,,,,,,1975,2010,,,,
2,Florian Luca,Florian Luca,Stellenbosch University,ZA,5,,2,4,1,0,,28,openalex,2002,2019,,,,
3,Apoloniusz Tyszka,Apoloniusz Tyszka,Hue University,VN,,1,,,21,2,,7,openalex,2015,2019,,,,
4,"Friedlander, John","Friedlander, John",University of Toronto,CA,,,4,,,,,,,2009,2009,,,,
5,Agnieszka Kozdęba,Agnieszka Kozdeba,Jagiellonian University,PL,,2,,,6,0,,,,2015,2022,,,,
6,"Heath-Brown, D. R.","Heath-Brown, D. R.",University of Oxford,GB,,,5,,,,,,,1978,2018,,,,
7,Min Sha,Min Sha,Institut Polytechnique de Bordeaux,FR,,3,,1,4,3,,,,2012,2014,,,,
8,Ruqing Chen,Ruqing Chen,National Cheng Kung University,TW,,4,,,4,0,,3,openalex,1994,1994,,,,
9,"Murty, M. Ram","Murty, M. Ram",Queen's University,CA,,,6,,,,,,,2010,2010,,,,
10,"Harman, Glyn","Harman, Glyn",Royal Holloway University of London,GB,,,7,,,,,,,1991,1991,,,,
11,Alî Keskin,Ali Keskin,Gazi University,TR,,5,,,3,6,,,,2015,2015,,,,
12,S. Kurpaska,S. Kurpaska,,,,6,,,3,0,,,,2019,2020,,,,
13,"Shparlinski, Igor E.","Shparlinski, Igor E.",UNSW Sydney,AU,,,8,,,,,,,2000,2015,,,,
14,Paul Pollack,Paul Pollack,University of Georgia,US,,7,15,,2,29,,13,openalex,2024,2024,,,,
15,"Baier, Stephan","Baier, Stephan",Ramakrishna Mission Vivekananda Educational and Research Institute,IN,,,9,,1,0,,,,2004,2024,,,,
16,"Motohashi, Y.","Motohashi, Y.",Finnish Academy of Science and Letters,FI,,,10,,,,,,,1974,2014,,,,
17,Will Sawin,Will Sawin,Princeton University,US,,8,,1,2,11,,10,openalex,2018,2018,,,,
